position,player,team,age,total_value,avg_year,total_guaranteed,fully_guaranteed,free_agency,MAX,MIN,sum,sumif,sumifs,If,ifs,len,left,right,trim,concatenate,substitute,substitute,xlookup,vlookup
traditional-linebacker,Devon Kennard,Lions,28,17250000,5750000,8500000,7500000,2021 UFA,,,,,,Young,#N/A,13,Devon ,Lions,Devon Kennard,Bengals - Preston Brown,Bengals - Preston Brown,,,
traditional-linebacker,Preston Brown,Bengals,27,16500000,5500000,4800000,4800000,2022 UFA,,,,,,Young,#N/A,13,Presto,ngals,Preston Brown,Patriots - Kyle Van Noy,Patriots - Kyle Van Noy,,,
traditional-linebacker,Kyle Van Noy,Patriots,28,10750000,5375000,5500000,5500000,2020 UFA,,,,,,Young,#N/A,12,Kyle V,riots,Kyle Van Noy,Chargers - Thomas Davis,Chargers - Thomas Davis,,,
traditional-linebacker,Thomas Davis,Chargers,36,10500000,5250000,5250000,5250000,2021 UFA,,,,,,old,#N/A,12,Thomas,rgers,Thomas Davis,Broncos - Todd Davis,Broncos - Todd Davis,,,
traditional-linebacker,Todd Davis,Broncos,27,15000000,5000000,6000000,6000000,2021 UFA,,,,,,Young,#N/A,10,Todd D,oncos,Todd Davis,Saints - A.J. Klein,Saints - A.J. Klein,,,
traditional-linebacker,A.J. Klein,Saints,28,15000000,5000000,5700000,5700000,2020 Void,,,,,,Young,#N/A,10,A.J. K,aints,A.J. Klein,Ravens - Jimmy Smith,Ravens - Jimmy Smith,,,
defensive-back,Jimmy Smith,Ravens,31,41102000,10275500,21000000,21000000,2020 UFA,,,,,,old,#N/A,11,Jimmy ,avens,Jimmy Smith,Vikings - Harrison Smith,Vikings - Harrison Smith,,,
defensive-back,Harrison Smith,Vikings,30,51250000,10250000,28578000,15278000,2022 UFA,,,,,,Young,Thirty,14,Harris,kings,Harrison Smith,Titans - Logan Ryan,Titans - Logan Ryan,,,
defensive-back,Logan Ryan,Titans,28,30000000,10000000,16000000,12000000,2020 UFA,,,,,,Young,#N/A,10,Logan ,itans,Logan Ryan,Texans - Bradley Roby,Texans - Bradley Roby,,,
defensive-back,Bradley Roby,Texans,27,10000000,10000000,9500000,9500000,2020 UFA,,,,,,Young,#N/A,12,Bradle,exans,Bradley Roby,Rams - Aqib Talib,Rams - Aqib Talib,,,
defensive-back,Aqib Talib,Rams,33,57000000,9500000,25500000,11500000,2020 UFA,,,,,,old,#N/A,10,Aqib T,Rams,Aqib Talib,Saints - Trey Hendrickson,Saints - Trey Hendrickson,,,
4-3-defensive-end,Trey Hendrickson,Saints,25,3175788,793947,706288,706288,2021 UFA,,,,,,Young,#N/A,16,Trey H,aints,Trey Hendrickson,Lions - Da’Shawn Hand,Lions - DaaShawn Hand,,,
4-3-defensive-end,Da’Shawn Hand,Lions,24,3141964,785491,681964,681964,2022 UFA,,,,,,Young,#N/A,15,Da’S,Lions,Da’Shawn Hand,Cowboys - Dorance Armstrong Jr.,Cowboys - Dorance Armstrong Jr.,,,
4-3-defensive-end,Dorance Armstrong Jr.,Cowboys,22,3129992,782498,669992,669992,2022 UFA,,,,,,Young,#N/A,21,Doranc,wboys,Dorance Armstrong Jr.,49ers - Kentavius Street,49ers - Kentavius Street,,,
4-3-defensive-end,Kentavius Street,49ers,22,3070200,767550,610200,610200,2022 RFA,,,,,,Young,#N/A,16,Kentav,49ers,Kentavius Street,Eagles - Josh Sweat,Eagles - Josh Sweat,,,
4-3-defensive-end,Josh Sweat,Eagles,22,3057592,764398,597592,597592,2022 UFA,,,,,,Young,#N/A,10,Josh S,agles,Josh Sweat,Bengals - Carl Lawson,Bengals - Carl Lawson,,,
4-3-defensive-end,Carl Lawson,Bengals,24,3052620,763155,652620,652620,2021 UFA,,,,,,Young,#N/A,11,Carl L,ngals,Carl Lawson,Chargers - Sam Tevi,Chargers - Sam Tevi,,,
left-tackle,Sam Tevi,Chargers,25,2561804,640451,161804,161804,2021 UFA,,,,,,Young,#N/A,8,Sam Te,rgers,Sam Tevi,Eagles - Jordan Mailata,Eagles - Jordan Mailata,,,
left-tackle,Jordan Mailata,Eagles,22,2549392,637348,89392,89392,2022 UFA,,,,,,Young,#N/A,14,Jordan,agles,Jordan Mailata,Cardinals - Korey Cunningham,Cardinals - Korey Cunningham,,,
left-tackle,Korey Cunningham,Cardinals,24,2529072,632268,69072,69072,2022 UFA,,,,,,Young,#N/A,16,Korey ,inals,Korey Cunningham,Bills - De’Ondre Wesley,Bills - DeaOndre Wesley,,,
left-tackle,De’Ondre Wesley,Bills,27,1230000,615000,0,0,2021 UFA,,,,,,Young,#N/A,17,De’O,Bills,De’Ondre Wesley,Falcons - Dieugot Joseph,Falcons - Dieugot Joseph,,,
left-tackle,Dieugot Joseph,Falcons,25,1230000,615000,0,0,2021 ERFA,,,,,,Young,#N/A,14,Dieugo,lcons,Dieugot Joseph,Raiders - David Sharpe,Raiders - David Sharpe,,,
left-tackle,David Sharpe,Raiders,24,1200000,600000,0,0,2020 RFA,,,,,,Young,#N/A,12,David ,iders,David Sharpe,Cowboys - Mitch Hyatt,Cowboys - Mitch Hyatt,,,
left-tackle,Mitch Hyatt,Cowboys,2020,1775000,591667,150000,150000,2022 RFA,,,,,,old,#N/A,11,Mitch ,wboys,Mitch Hyatt,Giants - Paul Adams,Giants - Paul Adams,,,
left-tackle,Paul Adams,Giants,24,1765000,588333,80000,80000,2022 RFA,,,,,,Young,#N/A,10,Paul A,iants,Paul Adams,Redskins - Morgan Moses,Redskins - Morgan Moses,,,
offensive-line,Morgan Moses,Redskins,28,40000000,8000000,20000000,14047000,2023 UFA,,,,,,Young,#N/A,12,Morgan,skins,Morgan Moses,Bears - Bobby Massie,Bears - Bobby Massie,,,
offensive-line,Bobby Massie,Bears,30,32000000,8000000,15800000,15800000,2023 Void,,,,,,Young,Thirty,12,Bobby ,Bears,Bobby Massie,Cowboys - La’el Collins,Cowboys - Laael Collins,,,
offensive-line,La’el Collins,Cowboys,26,15400000,7700000,15400000,9500000,2020 UFA,,,,,,Young,#N/A,15,La’e,wboys,La’el Collins,Chargers - Mike Pouncey,Chargers - Mike Pouncey,,,
offensive-line,Mike Pouncey,Chargers,30,15000000,7500000,10000000,10000000,2020 UFA,,,,,,Young,Thirty,12,Mike P,rgers,Mike Pouncey,Texans - Matt Kalil,Texans - Matt Kalil,,,
offensive-line,Matt Kalil,Texans,30,7500000,7500000,2250000,2250000,2020 UFA,,,,,,Young,Thirty,10,Matt K,exans,Matt Kalil,Browns - Chris Hubbard,Browns - Chris Hubbard,,,
offensive-line,Chris Hubbard,Browns,28,36500000,7300000,15150000,9000000,2023 UFA,,,,,,Young,#N/A,13,Chris ,rowns,Chris Hubbard,Jets - Brian Winters,Jets - Brian Winters,,,
offensive-line,Brian Winters,Jets,28,29000000,7250000,15000000,15000000,2021 UFA,,,,,,Young,#N/A,13,Brian ,Jets,Brian Winters,Redskins - Ryan Anderson,Redskins - Ryan Anderson,,,
edge-rusher,Ryan Anderson,Redskins,25,5324722,1331181,3184557,3184557,2021 UFA,,,,,,Young,#N/A,13,Ryan A,skins,Ryan Anderson,Colts - Kemoko Turay,Colts - Kemoko Turay,,,
edge-rusher,Kemoko Turay,Colts,24,5218404,1304601,3072404,3072404,2022 UFA,,,,,,Young,#N/A,12,Kemoko,Colts,Kemoko Turay,Ravens - Shane Ray,Ravens - Shane Ray,,,
edge-rusher,Shane Ray,Ravens,26,1200000,1200000,200000,200000,2020 UFA,,,,,,Young,#N/A,9,Shane ,avens,Shane Ray,Raiders - Benson Mayowa,Raiders - Benson Mayowa,,,
edge-rusher,Benson Mayowa,Raiders,28,1100000,1100000,750000,750000,2020 UFA,,,,,,Young,#N/A,13,Benson,iders,Benson Mayowa,Colts - Tyquan Lewis,Colts - Tyquan Lewis,,,
edge-rusher,Tyquan Lewis,Colts,24,4366054,1091514,1993126,1993126,2022 UFA,,,,,,Young,#N/A,12,Tyquan,Colts,Tyquan Lewis,Steelers - Fred Johnson,Steelers - Fred Johnson,,,
right-guard,Fred Johnson,Steelers,22,1770000,590000,15000,15000,2022 RFA,,,,,,Young,#N/A,12,Fred J,elers,Fred Johnson,Texans - Malcolm Pridgeon,Texans - Malcolm Pridgeon,,,
right-guard,Malcolm Pridgeon,Texans,24,1763000,587667,40000,40000,2022 RFA,,,,,,Young,#N/A,16,Malcol,exans,Malcolm Pridgeon,Bengals - O’Shea Dugas,Bengals - OaShea Dugas,,,
right-guard,O’Shea Dugas,Bengals,2020,1760500,586833,5500,5500,2022 RFA,,,,,,old,#N/A,14,O’Sh,ngals,O’Shea Dugas,"Cowboys - Larry Allen, Jr.","Cowboys - Larry Allen, Jr.",,,
right-guard,"Larry Allen, Jr.",Cowboys,2020,1760000,586667,5000,5000,2022 RFA,,,,,,old,#N/A,16,Larry ,wboys,"Larry Allen, Jr.",Bears - Blake Blackmar,Bears - Blake Blackmar,,,
right-guard,Blake Blackmar,Bears,24,1757500,585833,2500,2500,2022 RFA,,,,,,Young,#N/A,14,Blake ,Bears,Blake Blackmar,Bears - Joe Lowery,Bears - Joe Lowery,,,
right-guard,Joe Lowery,Bears,23,1757000,585833,5000,5000,2022 RFA,,,,,,Young,#N/A,10,Joe Lo,Bears,Joe Lowery,Cowboys - Adam Redmond,Cowboys - Adam Redmond,,,
center,Adam Redmond,Cowboys,26,1206000,603000,6000,6000,2020 ERFA,,,,,,Young,#N/A,12,Adam R,wboys,Adam Redmond,Browns - Willie Wright,Browns - Willie Wright,,,
center,Willie Wright,Browns,23,1770000,590000,25000,25000,2022 RFA,,,,,,Young,#N/A,13,Willie,rowns,Willie Wright,Patriots - Tyler Gauthier,Patriots - Tyler Gauthier,,,
center,Tyler Gauthier,Patriots,22,1765000,588333,70000,70000,2022 RFA,,,,,,Young,#N/A,14,Tyler ,riots,Tyler Gauthier,Giants - James O’Hagan,Giants - James OaHagan,,,
center,James O’Hagan,Giants,23,1760000,586667,35000,35000,2022 RFA,,,,,,Young,#N/A,15,James ,iants,James O’Hagan,Bears - Sam Mustipher,Bears - Sam Mustipher,,,
center,Sam Mustipher,Bears,23,1758500,586167,11000,11000,2022 RFA,,,,,,Young,#N/A,13,Sam Mu,Bears,Sam Mustipher,Vikings - John Keenoy,Vikings - John Keenoy,,,
center,John Keenoy,Vikings,22,1757500,585833,2500,2500,2022 RFA,,,,,,Young,#N/A,11,John K,kings,John Keenoy,Falcons - Chandler Miller,Falcons - Chandler Miller,,,
center,Chandler Miller,Falcons,2020,1757000,585667,2000,2000,2022 RFA,,,,,,old,#N/A,15,Chandl,lcons,Chandler Miller,Jets - Toa Lobendahn,Jets - Toa Lobendahn,,,
center,Toa Lobendahn,Jets,2020,1755000,585000,0,0,2022 RFA,,,,,,old,#N/A,13,Toa Lo,Jets,Toa Lobendahn,Packers - Fadol Brown,Packers - Fadol Brown,,,
3-4-defensive-end,Fadol Brown,Packers,26,570000,570000,0,0,2020 ERFA,,,,,,Young,#N/A,11,Fadol ,ckers,Fadol Brown,Giants - Jordan Williams,Giants - Jordan Williams,,,
3-4-defensive-end,Jordan Williams,Giants,26,570000,570000,0,0,2020 ERFA,,,,,,Young,#N/A,15,Jordan,iants,Jordan Williams,Redskins - JoJo Wicker,Redskins - JoJo Wicker,,,
3-4-defensive-end,JoJo Wicker,Redskins,0,1080000,540000,0,0,2021 ERFA,,,,,,Young,#N/A,11,JoJo W,skins,JoJo Wicker,Steelers - Lavon Hooks,Steelers - Lavon Hooks,,,
3-4-defensive-end,Lavon Hooks,Steelers,27,495000,495000,0,0,2020 ERFA,,,,,,Young,#N/A,11,Lavon ,elers,Lavon Hooks,Steelers - Conor Sheehy,Steelers - Conor Sheehy,,,
3-4-defensive-end,Conor Sheehy,Steelers,0,495000,495000,0,0,2020 ERFA,,,,,,Young,#N/A,12,Conor ,elers,Conor Sheehy,Steelers - Greg Gilmore,Steelers - Greg Gilmore,,,
3-4-defensive-end,Greg Gilmore,Steelers,0,495000,495000,0,0,2020 ERFA,,,,,,Young,#N/A,12,Greg G,elers,Greg Gilmore,Steelers - Henry Mondeaux,Steelers - Henry Mondeaux,,,
3-4-defensive-end,Henry Mondeaux,Steelers,0,495000,495000,0,0,2020 ERFA,,,,,,Young,#N/A,14,Henry ,elers,Henry Mondeaux,Steelers - Casey Sayles,Steelers - Casey Sayles,,,
3-4-defensive-end,Casey Sayles,Steelers,24,495000,495000,0,0,2020 ERFA,,,,,,Young,#N/A,12,Casey ,elers,Casey Sayles,Cardinals - Rodney Gunter,Cardinals - Rodney Gunter,,,
interior-defensive-line,Rodney Gunter,Cardinals,26,1750000,1750000,1600000,1600000,2020 UFA,,,,,,Young,#N/A,13,Rodney,inals,Rodney Gunter,Chiefs - Chris Jones,Chiefs - Chris Jones,,,
interior-defensive-line,Chris Jones,Chiefs,25,6231240,1557810,3890050,3890050,2020 UFA,,,,,,Young,#N/A,11,Chris ,hiefs,Chris Jones,Titans - Austin Johnson,Titans - Austin Johnson,,,
interior-defensive-line,Austin Johnson,Titans,30,5662228,1415557,3475358,3475358,2020 UFA,,,,,,Young,Thirty,14,Austin,itans,Austin Johnson,Raiders - Josh Mauro,Raiders - Josh Mauro,,,
interior-defensive-line,Josh Mauro,Raiders,28,1400000,1400000,400000,400000,2020 UFA,,,,,,Young,#N/A,10,Josh M,iders,Josh Mauro,Broncos - Dekoda Watson,Broncos - Dekoda Watson,,,
linebacker,Dekoda Watson,Broncos,31,5000000,1666667,1000000,1000000,2020 UFA,,,,,,old,#N/A,13,Dekoda,oncos,Dekoda Watson,Cowboys - Jaylon Smith,Cowboys - Jaylon Smith,,,
linebacker,Jaylon Smith,Cowboys,24,6494972,1623743,4523682,4523682,2020 RFA,,,,,,Young,#N/A,12,Jaylon,wboys,Jaylon Smith,Jaguars - Myles Jack,Jaguars - Myles Jack,,,
linebacker,Myles Jack,Jaguars,24,6334438,1583610,3994793,3994793,2020 UFA,,,,,,Young,#N/A,10,Myles ,guars,Myles Jack,49ers - Mark Nzeocha,49ers - Mark Nzeocha,,,
linebacker,Mark Nzeocha,49ers,29,4750000,1583333,1925000,1250000,2022 UFA,,,,,,Young,#N/A,12,Mark N,49ers,Mark Nzeocha,Browns - Ray-Ray Armstrong,Browns - Ray-Ray Armstrong,,,
linebacker,Ray-Ray Armstrong,Browns,28,1550000,1550000,400000,400000,2020 UFA,,,,,,Young,#N/A,17,Ray-Ra,rowns,Ray-Ray Armstrong,Chargers - Nick Dzubnar,Chargers - Nick Dzubnar,,,
linebacker,Nick Dzubnar,Chargers,28,3050000,1525000,795000,795000,2020 UFA,,,,,,Young,#N/A,12,Nick D,rgers,Nick Dzubnar,Jets - Neville Hewitt,Jets - Neville Hewitt,,,
linebacker,Neville Hewitt,Jets,26,1500000,1500000,500000,500000,2020 UFA,,,,,,Young,#N/A,14,Nevill,Jets,Neville Hewitt,Eagles - Zach Brown,Eagles - Zach Brown,,,
linebacker,Zach Brown,Eagles,30,1500000,1500000,1400000,1400000,2020 UFA,,,,,,Young,Thirty,10,Zach B,agles,Zach Brown,Colts - Grover Stewart,Colts - Grover Stewart,,,
4-3-defensive-tackle,Grover Stewart,Colts,26,2534348,633587,0,0,2021 UFA,,,,,,Young,#N/A,14,Grover,Colts,Grover Stewart,49ers - Kapron Lewis-Moore,49ers - Kapron Lewis-Moore,,,
4-3-defensive-tackle,Kapron Lewis-Moore,49ers,29,1230000,615000,0,0,2021 UFA,,,,,,Young,#N/A,18,Kapron,49ers,Kapron Lewis-Moore,Browns - Devaroe Lawrence,Browns - Devaroe Lawrence,,,
4-3-defensive-tackle,Devaroe Lawrence,Browns,27,1230000,615000,0,0,2021 ERFA,,,,,,Young,#N/A,16,Devaro,rowns,Devaroe Lawrence,Dolphins - Jamiyus Pittman,Dolphins - Jamiyus Pittman,,,
4-3-defensive-tackle,Jamiyus Pittman,Dolphins,25,1230000,615000,0,0,2021 ERFA,,,,,,Young,#N/A,15,Jamiyu,phins,Jamiyus Pittman,Vikings - Ifeadi Odenigbo,Vikings - Ifeadi Odenigbo,,,
4-3-defensive-tackle,Ifeadi Odenigbo,Vikings,25,1230000,615000,0,0,2021 ERFA,,,,,,Young,#N/A,15,Ifeadi,kings,Ifeadi Odenigbo,Cardinals - Vincent Valentine,Cardinals - Vincent Valentine,,,
4-3-defensive-tackle,Vincent Valentine,Cardinals,25,1200000,600000,0,0,2020 RFA,,,,,,Young,#N/A,17,Vincen,inals,Vincent Valentine,Eagles - Treyvon Hester,Eagles - Treyvon Hester,,,
4-3-defensive-tackle,Treyvon Hester,Eagles,27,1200000,600000,0,0,2020 RFA,,,,,,Young,#N/A,14,Treyvo,agles,Treyvon Hester,Colts - Iseoluwapo Jegede,Colts - Iseoluwapo Jegede,,,
4-3-defensive-tackle,Iseoluwapo Jegede,Colts,25,1775000,591667,20000,20000,2022 RFA,,,,,,Young,#N/A,17,Iseolu,Colts,Iseoluwapo Jegede,Cowboys - Taco Charlton,Cowboys - Taco Charlton,,,
defensive-line,Taco Charlton,Cowboys,25,10028638,2507160,8654097,8654097,2021 UFA,,,,,,Young,#N/A,13,Taco C,wboys,Taco Charlton,Jets - Steve McLendon,Jets - Steve McLendon,,,
defensive-line,Steve McLendon,Jets,33,2500000,2500000,2250000,750000,2020 UFA,,,,,,old,#N/A,14,Steve ,Jets,Steve McLendon,Patriots - Mike Pennel,Patriots - Mike Pennel,,,
defensive-line,Mike Pennel,Patriots,28,5000000,2500000,500000,500000,2021 UFA,,,,,,Young,#N/A,11,Mike P,riots,Mike Pennel,Broncos - Zach Kerr,Broncos - Zach Kerr,,,
defensive-line,Zach Kerr,Broncos,29,5000000,2500000,600000,600000,2021 UFA,,,,,,Young,#N/A,9,Zach K,oncos,Zach Kerr,Falcons - Jack Crawford,Falcons - Jack Crawford,,,
defensive-line,Jack Crawford,Falcons,31,9900000,2475000,3000000,3000000,2020 UFA,,,,,,old,#N/A,13,Jack C,lcons,Jack Crawford,49ers - Arik Armstead,49ers - Arik Armstead,,,
defensive-line,Arik Armstead,49ers,26,9842628,2460657,9842628,9842628,2020 UFA,,,,,,Young,#N/A,13,Arik A,49ers,Arik Armstead,Raiders - Trent Sieg,Raiders - Trent Sieg,,,
long-snapper,Trent Sieg,Raiders,24,570000,570000,0,0,2020 ERFA,,,,,,Young,#N/A,10,Trent ,iders,Trent Sieg,Jets - Thomas Hennessy,Jets - Thomas Hennessy,,,
long-snapper,Thomas Hennessy,Jets,25,1665000,555000,0,0,2020 RFA,,,,,,Young,#N/A,15,Thomas,Jets,Thomas Hennessy,Buccaneers - Zach Triner,Buccaneers - Zach Triner,,,
long-snapper,Zach Triner,Buccaneers,2020,1080000,540000,0,0,2021 ERFA,,,,,,old,#N/A,11,Zach T,neers,Zach Triner,Cowboys - Drew Scott,Cowboys - Drew Scott,,,
long-snapper,Drew Scott,Cowboys,24,1080000,540000,0,0,2021 ERFA,,,,,,Young,#N/A,10,Drew S,wboys,Drew Scott,Redskins - Andrew East,Redskins - Andrew East,,,
long-snapper,Andrew East,Redskins,28,1050000,525000,0,0,2020 ERFA,,,,,,Young,#N/A,11,Andrew,skins,Andrew East,Buccaneers - Zack Bailey,Buccaneers - Zack Bailey,,,
left-guard,Zack Bailey,Buccaneers,2020,1755000,585000,0,0,2022 RFA,,,,,,old,#N/A,11,Zack B,neers,Zack Bailey,Chargers - Chris Brown,Chargers - Chris Brown,,,
left-guard,Chris Brown,Chargers,2020,1755000,585000,0,0,2022 RFA,,,,,,old,#N/A,11,Chris ,rgers,Chris Brown,Eagles - Ryan Bates,Eagles - Ryan Bates,,,
left-guard,Ryan Bates,Eagles,2020,1755000,585000,0,0,2022 RFA,,,,,,old,#N/A,10,Ryan B,agles,Ryan Bates,Eagles - Iosua Opeta,Eagles - Iosua Opeta,,,
left-guard,Iosua Opeta,Eagles,2020,1755000,585000,0,0,2022 RFA,,,,,,old,#N/A,11,Iosua ,agles,Iosua Opeta,Rams - Chandler Brewer,Rams - Chandler Brewer,,,
left-guard,Chandler Brewer,Rams,2020,1755000,585000,0,0,2022 RFA,,,,,,old,#N/A,15,Chandl,Rams,Chandler Brewer,Dolphins - Deion Calhoun,Dolphins - Deion Calhoun,,,
left-guard,Deion Calhoun,Dolphins,2020,1755000,585000,0,0,2022 RFA,,,,,,old,#N/A,13,Deion ,phins,Deion Calhoun,Broncos - Nico Falah,Broncos - Nico Falah,,,
left-guard,Nico Falah,Broncos,24,1738235,579412,28235,28235,2021 RFA,,,,,,Young,#N/A,10,Nico F,oncos,Nico Falah,Panthers - Brendan Mahon,Panthers - Brendan Mahon,,,
left-guard,Brendan Mahon,Panthers,24,1722500,574167,12500,12500,2021 RFA,,,,,,Young,#N/A,13,Brenda,thers,Brendan Mahon,Giants - Nick Gates,Giants - Nick Gates,,,
left-guard,Nick Gates,Giants,24,1715000,571667,25000,25000,2021 RFA,,,,,,Young,#N/A,10,Nick G,iants,Nick Gates,Jets - Chandler Catanzaro,Jets - Chandler Catanzaro,,,
kicker,Chandler Catanzaro,Jets,28,2300000,2300000,600000,500000,2020 UFA,,,,,,Young,#N/A,18,Chandl,Jets,Chandler Catanzaro,Rams - Greg Zuerlein,Rams - Greg Zuerlein,,,
kicker,Greg Zuerlein,Rams,32,6750000,2250000,2375000,2375000,2020 UFA,,,,,,old,#N/A,13,Greg Z,Rams,Greg Zuerlein,Bengals - Randy Bullock,Bengals - Randy Bullock,,,
kicker,Randy Bullock,Bengals,30,4205000,2102500,750000,750000,2021 UFA,,,,,,Young,Thirty,13,Randy ,ngals,Randy Bullock,Bears - Elliot Fry,Bears - Elliot Fry,,,
kicker,Elliot Fry,Bears,25,1755000,1755000,0,0,2022 RFA,,,,,,Young,#N/A,10,Elliot,Bears,Elliot Fry,Buccaneers - Cairo Santos,Buccaneers - Cairo Santos,,,
kicker,Cairo Santos,Buccaneers,28,1000000,1000000,195000,195000,2020 UFA,,,,,,Young,#N/A,12,Cairo ,neers,Cairo Santos,Vikings - Dan Bailey,Vikings - Dan Bailey,,,
kicker,Dan Bailey,Vikings,31,1000000,1000000,250000,250000,2020 UFA,,,,,,old,#N/A,10,Dan Ba,kings,Dan Bailey,Buccaneers - Matt Gay,Buccaneers - Matt Gay,,,
kicker,Matt Gay,Buccaneers,25,2845772,711443,325772,325772,2023 UFA,,,,,,Young,#N/A,8,Matt G,neers,Matt Gay,Raiders - Tyrell Williams,Raiders - Tyrell Williams,,,
wide-receiver,Tyrell Williams,Raiders,27,44400000,11100000,22000000,10000000,2023 UFA,,,,,,Young,#N/A,15,Tyrell,iders,Tyrell Williams,Broncos - Emmanuel Sanders,Broncos - Emmanuel Sanders,,,
wide-receiver,Emmanuel Sanders,Broncos,32,33000000,11000000,26900000,20000000,2020 UFA,,,,,,old,#N/A,16,Emmanu,oncos,Emmanuel Sanders,Cardinals - Larry Fitzgerald,Cardinals - Larry Fitzgerald,,,
wide-receiver,Larry Fitzgerald,Cardinals,36,11000000,11000000,11000000,11000000,2020 UFA,,,,,,old,#N/A,16,Larry ,inals,Larry Fitzgerald,Seahawks - Tyler Lockett,Seahawks - Tyler Lockett,,,
wide-receiver,Tyler Lockett,Seahawks,27,31800000,10600000,20000000,11000000,2022 UFA,,,,,,Young,#N/A,13,Tyler ,hawks,Tyler Lockett,Giants - Sterling Shepard,Giants - Sterling Shepard,,,
wide-receiver,Sterling Shepard,Giants,25,41000000,10250000,21260624,16210624,2024 UFA,,,,,,Young,#N/A,16,Sterli,iants,Sterling Shepard,Dolphins - Chandler Cox,Dolphins - Chandler Cox,,,
fullback,Chandler Cox,Dolphins,0,2610912,652728,90912,90912,2023 UFA,,,,,,Young,#N/A,12,Chandl,phins,Chandler Cox,Lions - Nick Bawden,Lions - Nick Bawden,,,
fullback,Nick Bawden,Lions,23,2544204,636051,84204,84204,2022 UFA,,,,,,Young,#N/A,11,Nick B,Lions,Nick Bawden,Broncos - Andy Janovich,Broncos - Andy Janovich,,,
fullback,Andy Janovich,Broncos,26,2504308,626077,164308,164308,2020 UFA,,,,,,Young,#N/A,13,Andy J,oncos,Andy Janovich,Chargers - Derek Watt,Chargers - Derek Watt,,,
fullback,Derek Watt,Chargers,27,2469680,617420,129680,129680,2020 UFA,,,,,,Young,#N/A,10,Derek ,rgers,Derek Watt,Panthers - Alex Armah,Panthers - Alex Armah,,,
fullback,Alex Armah,Panthers,25,2400000,600000,0,0,2021 UFA,,,,,,Young,#N/A,10,Alex A,thers,Alex Armah,Vikings - Khari Blasingame,Vikings - Khari Blasingame,,,
fullback,Khari Blasingame,Vikings,23,1765000,588333,30000,30000,2022 RFA,,,,,,Young,#N/A,16,Khari ,kings,Khari Blasingame,Steelers - Joe Haden,Steelers - Joe Haden,,,
cornerback,Joe Haden,Steelers,30,27000000,9000000,5750000,5750000,2020 UFA,,,,,,Young,Thirty,9,Joe Ha,elers,Joe Haden,Bears - Prince Amukamara,Bears - Prince Amukamara,,,
cornerback,Prince Amukamara,Bears,30,27000000,9000000,18000000,18000000,2021 UFA,,,,,,Young,Thirty,16,Prince,Bears,Prince Amukamara,Ravens - Tavon Young,Ravens - Tavon Young,,,
cornerback,Tavon Young,Ravens,25,25800000,8600000,13000000,13000000,2023 UFA,,,,,,Young,#N/A,11,Tavon ,avens,Tavon Young,Steelers - Steven Nelson,Steelers - Steven Nelson,,,
cornerback,Steven Nelson,Steelers,26,25500000,8500000,7500000,7500000,2022 UFA,,,,,,Young,#N/A,13,Steven,elers,Steven Nelson,Texans - Aaron Colvin,Texans - Aaron Colvin,,,
cornerback,Aaron Colvin,Texans,28,34000000,8500000,18000000,18000000,2022 UFA,,,,,,Young,#N/A,12,Aaron ,exans,Aaron Colvin,Browns - T.J. Carrie,Browns - T.J. Carrie,,,
cornerback,T.J. Carrie,Browns,29,31000000,7750000,15500000,10000000,2022 UFA,,,,,,Young,#N/A,11,T.J. C,rowns,T.J. Carrie,Colts - Pierre Desir,Colts - Pierre Desir,,,
cornerback,Pierre Desir,Colts,29,22500000,7500000,12000000,9000000,2022 UFA,,,,,,Young,#N/A,12,Pierre,Colts,Pierre Desir,Jaguars - Lerentee McCray,Jaguars - Lerentee McCray,,,
4-3-outside-linebacker,Lerentee McCray,Jaguars,29,5500000,2750000,1500000,1500000,2020 UFA,,,,,,Young,#N/A,15,Lerent,guars,Lerentee McCray,Patriots - Brandon King,Patriots - Brandon King,,,
4-3-outside-linebacker,Brandon King,Patriots,26,2600000,2600000,400000,400000,2020 UFA,,,,,,Young,#N/A,12,Brando,riots,Brandon King,Panthers - Shaq Thompson,Panthers - Shaq Thompson,,,
4-3-outside-linebacker,Shaq Thompson,Panthers,25,8808726,2202181,7172535,7172535,2020 UFA,,,,,,Young,#N/A,13,Shaq T,thers,Shaq Thompson,Saints - Craig Robertson,Saints - Craig Robertson,,,
4-3-outside-linebacker,Craig Robertson,Saints,31,4100000,2050000,2300000,2300000,2021 UFA,,,,,,old,#N/A,15,Craig ,aints,Craig Robertson,Patriots - Jamie Collins,Patriots - Jamie Collins,,,
4-3-outside-linebacker,Jamie Collins,Patriots,30,2000000,2000000,250000,250000,2020 UFA,,,,,,Young,Thirty,13,Jamie ,riots,Jamie Collins,Raiders - Vontaze Burfict,Raiders - Vontaze Burfict,,,
4-3-outside-linebacker,Vontaze Burfict,Raiders,29,2000000,2000000,300000,300000,2020 UFA,,,,,,Young,#N/A,15,Vontaz,iders,Vontaze Burfict,Packers - Tramon Williams,Packers - Tramon Williams,,,
safety,Tramon Williams,Packers,36,10000000,5000000,3250000,3250000,2020 UFA,,,,,,old,#N/A,15,Tramon,ckers,Tramon Williams,Bengals - Shawn Williams,Bengals - Shawn Williams,,,
