Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
126,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28,6,6,539,6,1,1,1,0,0,2,0,0.17,0.17,0.33,0.17,0.33,1.4,1.4,1.4,2.7,0.23,0.23,0.46,0.23,0.46,Matches,507c7bdf
127,Roberto Firmino,br BRA,FWMF,Liverpool,30,5,4,343,3.8,3,3,3,0,0,0,0,0.79,0.79,1.57,0.79,1.57,2,2,0.6,2.7,0.53,0.17,0.7,0.53,0.7,Matches,4c370d81
128,Phil Foden,eng ENG,FW,Manchester City,22,7,7,527,5.9,2,3,2,0,0,1,0,0.34,0.51,0.85,0.34,0.85,1.5,1.5,1.1,2.6,0.26,0.19,0.45,0.26,0.45,Matches,ed1e53f3
129,Wesley Fofana,fr FRA,DF,Leicester City,21,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.18,0,0.18,0.18,0.18,Matches,132a82f1
130,Wesley Fofana,fr FRA,DF,Chelsea,21,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,132a82f1
131,Pablo Fornals,es ESP,FWMF,West Ham,26,7,7,537,6,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,0.4,0.4,0.4,0.9,0.07,0.07,0.14,0.07,0.14,Matches,82927de4
132,Adam Forshaw,eng ENG,MF,Leeds United,30,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.31,0.31,0,0.31,Matches,9f1938ab
133,Tyrese Francois,au AUS,FW,Fulham,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6722d4f0
134,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,5,3,238,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.3,0.8,0.18,0.13,0.31,0.18,0.31,Matches,d56543a0
135,Fred,br BRA,MF,Manchester Utd,29,6,2,146,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.17,0.18,0.01,0.18,Matches,b853e0ad
136,Ryan Fredericks,eng ENG,DF,Bournemouth,29,2,0,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c067631c
137,Remo Freuler,ch SUI,MF,Nott'ham Forest,30,3,2,175,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches,98d2c2c4
138,Conor Gallagher,eng ENG,MF,Chelsea,22,5,3,156,1.7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.4,0.4,0.03,0.22,0.25,0.03,0.25,Matches,c2731c10
139,Idrissa Gana Gueye,sn SEN,MF,Everton,32,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,72c812f3
140,Alejandro Garnacho,es ESP,MF,Manchester Utd,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7aa8adfe
141,David de Gea,es ESP,GK,Manchester Utd,31,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7ba6d84e
142,Joe Gelhardt,eng ENG,FW,Leeds United,20,5,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0.5,0,0.5,0.5,0.5,Matches,01962d0d
143,Saman Ghoddos,ir IRN,DFFW,Brentford,29,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f7b1d4e0
144,Morgan Gibbs-White,eng ENG,FW,Wolves,22,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.32,0.03,0.35,0.32,0.35,Matches,32f60ed8
145,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,22,5,4,357,4,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0.3,0.3,0.4,0.7,0.08,0.1,0.18,0.08,0.18,Matches,32f60ed8
146,Billy Gilmour,sct SCO,MF,Brighton,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,df10e27c
147,Ben Godfrey,eng ENG,DF,Everton,24,1,1,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9f7c837d
148,Joe Gomez,eng ENG,DF,Liverpool,25,5,4,388,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,7a11550b
149,Sergio Gómez,es ESP,DF,Manchester City,22,3,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0,0.15,0.15,0.15,Matches,01e5f06e
150,Anthony Gordon,eng ENG,FW,Everton,21,7,7,605,6.7,2,0,2,0,0,4,0,0.3,0,0.3,0.3,0.3,1.7,1.7,0.4,2.1,0.25,0.06,0.31,0.25,0.31,Matches,2bd83368
151,Demarai Gray,eng ENG,FW,Everton,26,7,7,610,6.8,1,0,1,0,0,0,0,0.15,0,0.15,0.15,0.15,1.3,1.3,0.7,2.1,0.19,0.11,0.3,0.19,0.3,Matches,4468ec10
152,Jack Grealish,eng ENG,FW,Manchester City,27,3,2,211,2.3,1,0,1,0,0,0,0,0.43,0,0.43,0.43,0.43,0.5,0.5,0.6,1.1,0.22,0.24,0.46,0.22,0.46,Matches,b0b4fd3e
153,Sam Greenwood,eng ENG,MFFW,Leeds United,20,3,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.5,0.17,0.67,0.5,0.67,Matches,f3354c07
154,Pascal Groß,de GER,MFFW,Brighton,31,6,6,540,6,3,2,3,0,0,0,0,0.5,0.33,0.83,0.5,0.83,1.9,1.9,1.6,3.5,0.31,0.27,0.58,0.31,0.58,Matches,8aec0537
155,Vicente Guaita,es ESP,GK,Crystal Palace,35,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ab13a5aa
156,Gonçalo Guedes,pt POR,FWMF,Wolves,25,6,4,383,4.3,0,1,0,0,0,1,0,0,0.23,0.23,0,0.23,0.6,0.6,0.4,1,0.13,0.1,0.23,0.13,0.23,Matches,e6bc67d7
157,Marc Guéhi,eng ENG,DF,Crystal Palace,22,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.02,0.06,0.08,0.02,0.08,Matches,d0706b27
158,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,4,4,340,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.6,0.01,0.14,0.15,0.01,0.15,Matches,82518f62
159,İlkay Gündoğan,de GER,MF,Manchester City,31,7,5,460,5.1,2,1,2,0,0,0,0,0.39,0.2,0.59,0.39,0.59,1.2,1.2,1.7,2.9,0.24,0.34,0.57,0.24,0.57,Matches,819b3158
160,Erling Haaland,no NOR,FW,Manchester City,22,7,7,571,6.3,11,1,10,1,1,0,0,1.73,0.16,1.89,1.58,1.73,7.4,6.6,0.5,7.2,1.17,0.08,1.25,1.05,1.13,Matches,1f44ac21
161,Jack Harrison,eng ENG,FW,Leeds United,25,6,6,463,5.1,1,3,1,0,0,2,0,0.19,0.58,0.78,0.19,0.78,0.9,0.9,1.9,2.8,0.18,0.37,0.54,0.18,0.54,Matches,aa849a12
162,Kai Havertz,de GER,FWMF,Chelsea,23,6,5,427,4.7,1,0,1,0,0,3,0,0.21,0,0.21,0.21,0.21,0.9,0.9,0.1,1,0.19,0.02,0.21,0.19,0.21,Matches,fed7cb61
163,Jan Paul van Hecke,nl NED,DF,Brighton,22,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4fd08daa
164,Hwang Hee-chan,kr KOR,FW,Wolves,26,6,2,188,2.1,0,1,0,0,0,0,0,0,0.48,0.48,0,0.48,0.4,0.4,0.5,0.9,0.2,0.23,0.43,0.2,0.43,Matches,169fd162
165,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e5a76dfe
166,Jordan Henderson,eng ENG,MF,Liverpool,32,5,4,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.04,0.09,0.13,0.04,0.13,Matches,935e6b8f
167,Rico Henry,eng ENG,DF,Brentford,25,7,7,630,7,0,1,0,0,0,0,0,0,0.14,0.14,0,0.14,0.4,0.4,0.8,1.2,0.06,0.12,0.18,0.06,0.18,Matches,8a3c1dc7
168,Son Heung-min,kr KOR,MFFW,Tottenham,30,7,6,521,5.8,3,1,3,0,0,0,0,0.52,0.17,0.69,0.52,0.69,2.4,2.4,1.1,3.5,0.41,0.19,0.6,0.41,0.6,Matches,92e7e919
169,Aaron Hickey,sct SCO,DF,Brentford,20,7,7,567,6.3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,1780bb4a
170,Pierre Højbjerg,dk DEN,MF,Tottenham,27,7,7,630,7,2,1,2,0,0,1,0,0.29,0.14,0.43,0.29,0.43,0.3,0.3,1.1,1.4,0.04,0.16,0.2,0.04,0.2,Matches,8b04d6c1
171,Rob Holding,eng ENG,DF,Arsenal,27,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d79a8c87
172,Mason Holgate,eng ENG,DF,Everton,25,4,3,320,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.6,0.08,0.07,0.16,0.08,0.16,Matches,d0042ab9
173,Will Hughes,eng ENG,MF,Crystal Palace,27,4,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.57,0,0.57,0.57,0.57,Matches,a0666d3e
174,Kelechi Iheanacho,ng NGA,FW,Leicester City,25,6,1,175,1.9,1,1,1,0,0,0,0,0.51,0.51,1.03,0.51,1.03,1.3,1.3,0.2,1.5,0.64,0.11,0.75,0.64,0.75,Matches,c92e1a31
175,Danny Ings,eng ENG,FW,Aston Villa,30,6,3,259,2.9,1,0,1,0,0,2,0,0.35,0,0.35,0.35,0.35,0.6,0.6,0,0.6,0.2,0.01,0.21,0.2,0.21,Matches,07802f7f
176,Alexander Isak,se SWE,FW,Newcastle Utd,22,3,3,242,2.7,2,0,1,1,1,0,0,0.74,0,0.74,0.37,0.37,2.2,1.4,0.3,1.7,0.81,0.12,0.94,0.52,0.65,Matches,8e92be30
177,Alex Iwobi,ng NGA,MF,Everton,26,7,7,630,7,0,2,0,0,0,1,0,0,0.29,0.29,0,0.29,0.2,0.2,0.9,1.1,0.03,0.13,0.16,0.03,0.16,Matches,6ca5ec4b
178,Daniel James,wls WAL,FWMF,Fulham,24,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.24,0.37,0.62,0.24,0.62,Matches,c931d9f9
179,Daniel James,wls WAL,FW,Leeds United,24,4,2,198,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.5,0.11,0.13,0.24,0.11,0.24,Matches,c931d9f9
180,Reece James,eng ENG,DF,Chelsea,22,5,5,450,5,1,1,1,0,0,3,0,0.2,0.2,0.4,0.2,0.4,0.6,0.6,1.2,1.8,0.11,0.24,0.35,0.11,0.35,Matches,1265a93a
181,Vitaly Janelt,de GER,MFDF,Brentford,24,7,4,390,4.3,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,1.1,1.1,0.4,1.5,0.25,0.1,0.36,0.25,0.36,Matches,8449d35e
182,Pontus Jansson,se SWE,DF,Brentford,31,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,172e52d8
183,Mathias Jensen,dk DEN,MF,Brentford,26,7,7,508,5.6,1,2,1,0,0,0,0,0.18,0.35,0.53,0.18,0.53,0.3,0.3,1,1.3,0.06,0.18,0.24,0.06,0.24,Matches,0f134faf
184,Gabriel Jesus,br BRA,FW,Arsenal,25,7,7,610,6.8,4,3,4,0,0,4,0,0.59,0.44,1.03,0.59,1.03,3.7,3.7,1.5,5.3,0.55,0.22,0.78,0.55,0.78,Matches,b66315ae
185,Raúl Jiménez,mx MEX,FW,Wolves,31,3,2,212,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.6,1.4,0.35,0.25,0.6,0.35,0.6,Matches,b561db50
186,Joelinton,br BRA,MF,Newcastle Utd,26,7,7,630,7,0,1,0,0,0,3,0,0,0.14,0.14,0,0.14,1.3,1.3,0.5,1.8,0.18,0.07,0.25,0.18,0.25,Matches,c17bfb65
187,Ben Johnson,eng ENG,DF,West Ham,22,4,3,218,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches,9319781b
188,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21,7,7,590,6.6,2,0,1,1,1,2,0,0.31,0,0.31,0.15,0.15,1.4,0.7,0.2,0.8,0.22,0.03,0.24,0.1,0.12,Matches,0cd31129
189,Mathias Jørgensen,dk DEN,DF,Brentford,32,3,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.08,0.03,0.11,0.08,0.11,Matches,0db5d2c8
190,Jorginho,it ITA,MF,Chelsea,30,6,5,372,4.1,1,0,0,1,1,0,0,0.24,0,0.24,0,0,0.8,0,0.1,0.2,0.2,0.04,0.24,0.01,0.05,Matches,45db685d
191,Diogo Jota,pt POR,FW,Liverpool,25,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0,0.9,7.07,0.32,7.39,7.07,7.39,Matches,178ae8f8
192,James Justin,eng ENG,DF,Leicester City,24,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.02,0.04,0.06,0.02,0.06,Matches,fb614c44
193,Sasa Kalajdzic,at AUT,FW,Wolves,25,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.37,0,0.37,0.37,0.37,Matches,15f24fe7
194,Boubacar Kamara,fr FRA,MF,Aston Villa,22,7,7,566,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,Matches,cc77354e
195,Harry Kane,eng ENG,FW,Tottenham,29,7,7,617,6.9,6,1,6,0,1,2,0,0.88,0.15,1.02,0.88,1.02,4.7,4,1.3,5.2,0.69,0.18,0.88,0.58,0.76,Matches,21a66f6a
196,N'Golo Kanté,fr FRA,MF,Chelsea,31,2,2,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.1,0.16,0.05,0.16,Matches,b9fbae28
197,Michael Keane,eng ENG,DF,Everton,29,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c5b7c315
198,Neeskens Kebano,cd COD,FW,Fulham,30,6,5,365,4.1,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0.5,0.5,0.2,0.7,0.12,0.06,0.18,0.12,0.18,Matches,18b999f4
199,Thilo Kehrer,de GER,DF,West Ham,25,5,5,450,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,51dbeea9
200,Lloyd Kelly,eng ENG,DF,Bournemouth,23,5,5,450,5,0,2,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches,f31def1e
201,Max Kilman,eng ENG,DF,Wolves,25,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches,d0f72bf1
202,Mateusz Klich,pl POL,MF,Leeds United,32,6,0,132,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.13,0.18,0.05,0.18,Matches,282679b4
203,Robin Koch,de GER,DF,Leeds United,26,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,ea6bc03a
204,Ezri Konsa,eng ENG,DF,Aston Villa,24,7,6,541,6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,0313a347
205,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,5,5,427,4.7,1,0,1,0,0,2,1,0.21,0,0.21,0.21,0.21,0.4,0.4,0,0.4,0.08,0,0.08,0.08,0.08,Matches,da974c7b
206,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,32,4,2,176,2,1,0,1,0,0,1,0,0.51,0,0.51,0.51,0.51,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Matches,8d3c902d
207,Mateo Kovačić,hr CRO,MF,Chelsea,28,3,1,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.04,0.19,0.23,0.04,0.23,Matches,79c0821a
208,Emil Krafth,se SWE,DF,Newcastle Utd,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,77cf6852
209,Dejan Kulusevski,se SWE,MFFW,Tottenham,22,7,6,499,5.5,1,3,1,0,0,0,0,0.18,0.54,0.72,0.18,0.72,0.7,0.7,1.3,2.1,0.13,0.24,0.37,0.13,0.37,Matches,df3cda47
210,Adam Lallana,eng ENG,MF,Brighton,34,3,3,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.14,0.08,0.22,0.14,0.22,Matches,99813635
211,Tariq Lamptey,eng ENG,DF,Brighton,21,5,0,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,f4e433d4
212,Manuel Lanzini,ar ARG,MFFW,West Ham,29,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Matches,26f6dca8
213,Juan Larios,es ESP,DF,Southampton,18,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cf7fb13a
214,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,450ab6fc
215,Roméo Lavia,be BEL,MF,Southampton,18,5,5,419,4.7,1,0,1,0,0,1,0,0.21,0,0.21,0.21,0.21,0.1,0.1,0,0.2,0.03,0.01,0.03,0.03,0.03,Matches,ecad9aa5
216,Clément Lenglet,fr FRA,DF,Tottenham,27,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,4f28a6ff
217,Bernd Leno,de GER,GK,Fulham,30,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2628fd2b
218,Jefferson Lerma,co COL,MFDF,Bournemouth,27,7,7,630,7,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,0.3,0.3,0,0.3,0.05,0,0.05,0.05,0.05,Matches,9b5ce51a
219,Rico Lewis,eng ENG,DF,Manchester City,17,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b57e066e
220,Keane Lewis-Potter,eng ENG,FWMF,Brentford,21,5,2,212,2.4,0,1,0,0,0,0,0,0,0.42,0.42,0,0.42,0.6,0.6,0.8,1.4,0.24,0.35,0.59,0.24,0.59,Matches,41f08ac8
221,Jesse Lingard,eng ENG,MFFW,Nott'ham Forest,29,6,5,425,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.07,0.08,0.15,0.07,0.15,Matches,810e3c74
222,Diego Llorente,es ESP,DF,Leeds United,29,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.06,0,0.06,0.06,0.06,Matches,bba30585
223,Hugo Lloris,fr FRA,GK,Tottenham,35,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8f62b6ee
224,Renan Lodi,br BRA,DF,Nott'ham Forest,24,3,3,248,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.07,0.06,0.13,0.07,0.13,Matches,ed9f7cfe
225,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,26,6,5,423,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.3,0.9,0.13,0.05,0.18,0.13,0.18,Matches,e97fd090
226,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,7,3,336,3.7,0,1,0,0,0,1,0,0,0.27,0.27,0,0.27,0.2,0.2,0.7,0.9,0.05,0.2,0.24,0.05,0.24,Matches,a2b105e0
227,Jamal Lowe,jm JAM,FW,Bournemouth,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b2856bc0
228,Douglas Luiz,br BRA,MF,Aston Villa,24,6,2,247,2.7,1,0,1,0,0,1,0,0.36,0,0.36,0.36,0.36,0,0,0.3,0.4,0.01,0.11,0.13,0.01,0.13,Matches,6f7d826d
229,Lyanco,br BRA,DFMF,Southampton,25,3,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b5bf1770
230,Alexis Mac Allister,ar ARG,MF,Brighton,23,6,6,540,6,4,0,1,3,3,3,0,0.67,0,0.67,0.17,0.17,2.7,0.3,0,0.3,0.45,0,0.45,0.06,0.06,Matches,83d074ff
231,James Maddison,eng ENG,MFFW,Leicester City,25,6,6,540,6,3,1,3,0,0,2,0,0.5,0.17,0.67,0.5,0.67,1,1,0.5,1.5,0.16,0.08,0.25,0.16,0.25,Matches,ee38d9c5
232,Harry Maguire,eng ENG,DF,Manchester Utd,29,3,2,191,2.1,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0,0.2,0.08,0.01,0.09,0.08,0.09,Matches,d8931174
233,Riyad Mahrez,dz ALG,FWMF,Manchester City,31,6,2,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1,0.23,0.17,0.4,0.23,0.4,Matches,892d5bb1
234,Ainsley Maitland-Niles,eng ENG,MFDF,Southampton,25,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e3a5814e
235,Tyrell Malacia,nl NED,DF,Manchester Utd,23,6,4,406,4.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,6b6c793c
236,Orel Mangala,be BEL,MF,Nott'ham Forest,24,3,2,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.02,0.06,0.05,0.06,Matches,a572e291
237,Sekou Mara,fr FRA,FWMF,Southampton,20,5,1,121,1.3,0,1,0,0,0,0,0,0,0.74,0.74,0,0.74,0.3,0.3,0.2,0.5,0.24,0.15,0.39,0.24,0.39,Matches,3544641e
238,Solly March,eng ENG,DFMF,Brighton,28,6,6,494,5.5,0,0,0,0,0,1,0,0,0,0,0,0,1.8,1.8,0.2,2,0.32,0.04,0.36,0.32,0.36,Matches,bb5fbd2b
239,Emiliano Marcondes,dk DEN,MF,Bournemouth,27,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4d960fc3
240,Marquinhos,br BRA,FW,Arsenal,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,59878425
241,Anthony Martial,fr FRA,FW,Manchester Utd,26,1,0,45,0.5,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0.4,0.4,0,0.88,0.88,0,0.88,Matches,8b788c01
242,Martinelli,br BRA,FW,Arsenal,21,7,7,600,6.7,3,0,3,0,0,0,0,0.45,0,0.45,0.45,0.45,2,2,1.9,3.9,0.31,0.28,0.59,0.31,0.59,Matches,48a5a5d6
243,Emiliano Martínez,ar ARG,GK,Aston Villa,30,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7956236f
244,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,6,6,484,5.4,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0,0.04,0.04,0.04,Matches,bac46a10
245,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25,5,2,186,2.1,1,0,1,0,0,1,0,0.48,0,0.48,0.48,0.48,1.2,1.2,0.2,1.3,0.56,0.08,0.64,0.56,0.64,Matches,50e6dc35
246,Joël Matip,cm CMR,DF,Liverpool,31,2,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b217ef29
247,Neal Maupay,fr FRA,FW,Everton,26,2,2,178,2,1,0,1,0,0,0,0,0.51,0,0.51,0.51,0.51,0.7,0.7,0.1,0.8,0.38,0.04,0.42,0.38,0.42,Matches,4bcf39f6
248,Kevin Mbabu,ch SUI,DF,Fulham,27,4,0,89,1,0,1,0,0,0,1,0,0,1.01,1.01,0,1.01,0,0,0.3,0.3,0,0.28,0.28,0,0.28,Matches,493924a7
249,Bryan Mbeumo,fr FRA,FWDF,Brentford,23,7,7,553,6.1,2,0,2,0,0,0,0,0.33,0,0.33,0.33,0.33,1.6,1.6,0.7,2.4,0.27,0.12,0.38,0.27,0.38,Matches,6afaebf2
250,John McGinn,sct SCO,MF,Aston Villa,27,7,7,567,6.3,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matches,90f91999
251,Scott McKenna,sct SCO,DF,Nott'ham Forest,25,7,7,630,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.03,0.03,0,0.03,Matches,4e5a4cbc
252,Dwight McNeil,eng ENG,FW,Everton,22,7,4,357,4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.08,0.05,0.13,0.08,0.13,Matches,fc15fb84
253,Scott McTominay,sct SCO,MF,Manchester Utd,25,6,5,482,5.4,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0,0.3,0.04,0.01,0.05,0.04,0.05,Matches,d93c2511
254,Ben Mee,eng ENG,DF,Brentford,32,7,7,598,6.6,1,0,1,0,0,1,0,0.15,0,0.15,0.15,0.15,1.2,1.2,0,1.2,0.19,0,0.19,0.19,0.19,Matches,8df7a2fb
255,Edouard Mendy,sn SEN,GK,Chelsea,30,6,6,540,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,33887998
256,Chris Mepham,wls WAL,DF,Bournemouth,24,7,7,621,6.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fed96827
