Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
29,César Azpilicueta,es ESP,DF,Chelsea,33,5,2,222,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.14,0.14,0,0.14,Matches,53cad200
30,Leon Bailey,jm JAM,FWMF,Aston Villa,25,7,5,426,4.7,1,1,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,0.4,0.4,0.6,1,0.09,0.12,0.21,0.09,0.21,Matches,3a233281
31,Stefan Bajcetic,es ESP,MF,Liverpool,17,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,32e8417f
32,Patrick Bamford,eng ENG,FW,Leeds United,29,4,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1.5,0.8,0,0.8,0.8,0.8,Matches,93feac6e
33,Shandon Baptiste,gd GRN,MF,Brentford,24,7,2,222,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.04,0.14,0.18,0.04,0.18,Matches,2886c9b5
34,Harvey Barnes,eng ENG,MFFW,Leicester City,24,5,5,390,4.3,1,0,1,0,0,0,0,0.23,0,0.23,0.23,0.23,1,1,0,1,0.22,0,0.22,0.22,0.22,Matches,3ea50f67
35,Gavin Bazunu,ie IRL,GK,Southampton,20,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,c91441dc
36,Mads Bech Sørensen,dk DEN,DF,Brentford,23,3,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,30db8574
37,Jan Bednarek,pl POL,DF,Southampton,26,2,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.04,0.11,0.07,0.11,Matches,4115ce4e
38,Donny van de Beek,nl NED,MF,Manchester Utd,25,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,50dc94ce
